idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(경기),총 인구(명),가계대출(조원),평균전세가율(경기),평균아파트매매가격(경기)
127,2012년 7월,3,379552.7,363294.2,366827.3,96.385,0.4,3.1,29.7,34.1,1143.36,1826.75,485.39,11716,50851082,885.7,58.4519426,294.3
128,2012년 8월,3,379552.7,363294.2,366827.3,96.831,0.4,3,29.7,34.1,1131.69,1918.91,518.73,10358,50871606,885.7,58.70585569,292.6
129,2012년 9월,3,379552.7,363294.2,366827.3,97.523,0.4,2.9,29.7,34.1,1124.78,1961.29,523.96,9774,50891223,885.7,59.26459618,304.6
130,2012년 10월,2.75,381467.5,363255.6,366536.7,97.341,0.5,2.8,29.1,34.2,1106.93,1942.19,503.9,15373,50912264,905.9,59.85157761,313
131,2012년 11월,2.75,381467.5,363255.6,366536.7,96.995,0.5,2.8,29.1,34.2,1087.52,1904.7,488.59,15456,50930805,905.9,60.28734915,309.9
132,2012년 12월,2.75,381467.5,363255.6,366536.7,97.168,0.5,2.9,29.1,34.2,1076.97,1973.84,508.58,21999,50948272,905.9,60.67194885,310.9
133,2013년 1월,2.75,384831,367763.8,370296.2,97.751,0.9,3.4,30.1,34.6,1065.35,1986.1,515.55,10960,50965180,909,61.16050418,308.4
134,2013년 2월,2.75,384831,367763.8,370296.2,98.078,0.9,3.9,30.1,34.6,1086.68,1979.85,547.08,11648,50991003,909,61.49905565,310.2
135,2013년 3월,2.75,384831,367763.8,370296.2,97.987,0.9,3.5,30.1,34.6,1102.2,1990.24,551.68,13090,51003843,909,61.95566995,315.2
136,2013년 4월,2.75,389358.3,374293.6,376886.6,97.851,1.2,3.2,29,35.1,1121.83,1938.88,571.9,16960,51018468,926.3,62.47496676,321.7
137,2013년 5월,2.5,389358.3,374293.6,376886.6,97.851,1.2,3,29,35.1,1110.67,1974.45,530.76,19604,51034494,926.3,62.60434731,314.8
138,2013년 6월,2.5,389358.3,374293.6,376886.6,97.732,1.2,3.1,29,35.1,1135.21,1884.41,534.23,25411,51047880,926.3,62.76452633,312.2
139,2013년 7월,2.5,392697.2,379137.9,381144.4,97.942,0.9,3.1,29.6,34.7,1127.23,1871.77,540.91,12698,51064841,938.9,63.13268969,309.7
140,2013년 8월,2.5,392697.2,379137.9,381144.4,98.288,0.9,3,29.6,34.7,1116.98,1896.96,527.96,11184,51081507,938.9,63.77568409,324
141,2013년 9월,2.5,392697.2,379137.9,381144.4,98.479,0.9,2.7,29.6,34.7,1087.35,1984.39,530.55,13818,51098531,938.9,64.40968526,332.4
142,2013년 10월,2.5,395787.2,380799.9,383298.4,98.179,0.8,2.7,30.2,34.8,1066.8,2029.68,513.81,22437,51115702,960.6,64.9388947,330.2
143,2013년 11월,2.5,395787.2,380799.9,383298.4,98.16,0.8,2.6,30.2,34.8,1062.82,2009.92,496.17,19468,51127984,960.6,65.40028465,330.7
144,2013년 12월,2.5,395787.2,380799.9,383298.4,98.279,0.8,3,30.2,34.8,1056.67,1988.33,512.44,21364,51141463,960.6,65.78413704,340.4
145,2014년 1월,2.5,399560.7,385013.6,384827.8,98.807,1,3.4,29.6,34.6,1064.75,1948.22,521.33,15865,51156168,965.3,66.37614052,343.9
146,2014년 2월,2.5,399560.7,385013.6,384827.8,99.071,1,4.5,29.6,34.6,1071.3,1937.73,541.28,19584,51171176,965.3,66.88359046,339
147,2014년 3월,2.5,399560.7,385013.6,384827.8,99.253,1,3.9,29.6,34.6,1070.89,1952.43,559.97,21933,51185882,965.3,67.29427606,329.2
148,2014년 4월,2.5,402957.7,387117,389621.2,99.317,0.9,3.8,29.5,35.1,1044.55,1991.19,551,20199,51202130,978.4,67.46127195,326.3
149,2014년 5월,2.5,402957.7,387117,389621.2,99.481,0.9,3.5,29.5,35.1,1024.99,1994.13,532.72,16582,51218424,978.4,67.55237862,328.1
150,2014년 6월,2.5,402957.7,387117,389621.2,99.353,0.9,3.5,29.5,35.1,1019.36,1995.08,554.68,15163,51233579,978.4,67.70785408,333.9
151,2014년 7월,2.5,404195.7,389656.7,391668.7,99.499,0.3,3.4,30.2,34.8,1019.93,2021.95,556.76,18100,51250261,999,67.98187622,340.2
152,2014년 8월,2.25,404195.7,389656.7,391668.7,99.672,0.3,3.3,30.2,34.8,1025.36,2060.93,573.43,18993,51266779,999,68.2011889,345.8
153,2014년 9월,2.25,404195.7,389656.7,391668.7,99.608,0.3,3.1,30.2,34.8,1033.24,2042.71,557.55,21776,51284774,999,68.41682579,345.8
154,2014년 10월,2,406003.3,395026.3,398289,99.308,0.4,3.2,29.5,35.5,1060.28,1942.8,542.29,27743,51302044,1025.1,68.617814,341.3
155,2014년 11월,2,406003.3,395026.3,398289,99.108,0.4,3,29.5,35.5,1095.1,1959.65,539.52,21053,51314683,1025.1,68.88164203,344.8
156,2014년 12월,2,406003.3,395026.3,398289,99.098,0.4,3.3,29.5,35.5,1104.33,1941.93,577.28,20069,51327916,1025.1,69.1639389,351.5
157,2015년 1월,2,409483.1,408312.2,412619.6,99.77,0.9,3.7,29,36.9,1088.86,1920.99,605.85,19358,51342881,1039.3,69.44285538,350.9
158,2015년 2월,2,409483.1,408312.2,412619.6,99.71,0.9,4.5,29,36.9,1098.4,1961,634.72,19990,51360454,1039.3,69.68029406,353.9
159,2015년 3월,1.75,409483.1,408312.2,412619.6,99.72,0.9,4,29,36.9,1112.57,2012.62,685.35,29483,51378174,1039.3,69.94962636,352.9
160,2015년 4월,1.75,411150.7,410199.7,409987.4,99.75,0.4,3.9,29.3,36.1,1088.66,2107.27,697.55,30831,51395238,1072,70.28752737,353.6
161,2015년 5월,1.75,411150.7,410199.7,409987.4,100.03,0.4,3.7,29.3,36.1,1091.27,2114.9,722.83,26395,51413925,1072,70.53993998,355.2
162,2015년 6월,1.5,411150.7,410199.7,409987.4,100.05,0.4,3.8,29.3,36.1,1112.2,2063.69,753.83,26188,51431100,1072,70.78327536,359
163,2015년 7월,1.5,417190.5,418259.9,419416.6,100.23,1.5,3.6,29.9,36.9,1143.22,2058.03,698.16,24921,51448183,1101.4,73.72158714,365
164,2015년 8월,1.5,417190.5,418259.9,419416.6,100.37,1.5,3.4,29.9,36.9,1179.1,1952.55,672.04,23257,51465228,1101.4,73.84212897,358.6
165,2015년 9월,1.5,417190.5,418259.9,419416.6,100.11,1.5,3.2,29.9,36.9,1184.76,1939.58,683.14,24784,51482816,1101.4,74.03684252,370.9
166,2015년 10월,1.5,420196,421248.6,421182.9,100.11,0.7,3.1,29.9,35.8,1148.18,2020.57,680.23,27260,51500986,1138,74.21026097,372.4
167,2015년 11월,1.5,420196,421248.6,421182.9,99.92,0.7,3,29.9,35.8,1151.97,2006.78,665.95,26147,51515399,1138,74.41200297,373.1
168,2015년 12월,1.5,420196,421248.6,421182.9,100.22,0.7,3.2,29.9,35.8,1172.24,1971.53,678.81,22267,51529338,1138,74.62069769,358.3
169,2016년 1월,1.5,421397.6,431674.4,432831.1,100.39,0.3,3.7,28.3,37,1201.67,1894.65,651.05,17872,51541582,1158.4,74.76043886,357.5
170,2016년 2월,1.5,421397.6,431674.4,432831.1,100.82,0.3,4.9,28.3,37,1217.35,1900.61,684.44,16358,51555409,1158.4,74.93530503,362.6
171,2016년 3월,1.5,421397.6,431674.4,432831.1,100.56,0.3,4.2,28.3,37,1188.21,1976.5,697.67,21759,51569536,1158.4,75.13211734,364.8
172,2016년 4월,1.5,426146,431652.4,434289.6,100.75,1.1,3.9,30.1,37.2,1147.51,1996.17,693.61,22587,51584349,1191.6,75.38053706,376.9
173,2016년 5월,1.5,426146,431652.4,434289.6,100.81,1.1,3.6,30.1,37.2,1171.51,1966.68,686.21,23035,51601265,1191.6,75.54303635,382.1
174,2016년 6월,1.25,426146,431652.4,434289.6,100.79,1.1,3.6,30.1,37.2,1170.5,1977.03,699.41,26342,51619330,1191.6,75.70927083,394.3
175,2016년 7월,1.25,428036,432333.9,433958,100.6,0.4,3.5,30.9,36.2,1144.09,2002.48,691.91,29407,51634618,1228.6,75.80509247,394.3
176,2016년 8월,1.25,428036,432333.9,433958,100.86,0.4,3.6,30.9,36.2,1111.68,2036.66,676.35,31343,51649552,1228.6,75.95009961,396.3
177,2016년 9월,1.25,428036,432333.9,433958,101.46,0.4,3.5,30.9,36.2,1107.49,2042.56,660.04,28250,51664244,1228.6,75.97136706,405.1
178,2016년 10월,1.25,431300.7,434789.3,435548.6,101.6,0.8,3.3,31.2,36.9,1125.28,2036.03,611.59,34022,51677054,1269.8,76.08177683,407
179,2016년 11월,1.25,431300.7,434789.3,435548.6,101.45,0.8,3.1,31.2,36.9,1161.64,1981.75,607.2,29694,51687682,1269.8,76.11403198,393
180,2016년 12월,1.25,431300.7,434789.3,435548.6,101.56,0.8,3.2,31.2,36.9,1182.28,2021.67,628.87,28401,51696216,1269.8,76.15898523,386.2
181,2017년 1월,1.25,434823.2,442965.6,444167.7,102.64,0.8,3.7,31.7,37.3,1185.1,2061.73,614.57,19462,51704332,1286.1,76.17274307,392.1
182,2017년 2월,1.25,434823.2,442965.6,444167.7,102.92,0.8,4.9,31.7,37.3,1144.92,2082.8,609.84,18197,51712221,1286.1,76.20872764,392.9
183,2017년 3월,1.25,434823.2,442965.6,444167.7,102.85,0.8,4.1,31.7,37.3,1134.77,2136.17,628.86,25510,51714935,1286.1,76.25259457,393.7
184,2017년 4월,1.25,437831.1,443499,443983.6,102.72,0.7,4.2,32.7,36.6,1132.73,2160.18,642.66,24267,51722903,1313,76.2821339,409.3
185,2017년 5월,1.25,437831.1,443499,443983.6,102.83,0.7,3.6,32.7,36.6,1125.28,2301.89,667.55,27063,51732586,1313,76.31323617,431
186,2017년 6월,1.25,437831.1,443499,443983.6,102.61,0.7,3.8,32.7,36.6,1130.04,2372.2,662.45,34668,51736224,1313,76.26426378,427.7
187,2017년 7월,1.25,444245.2,453018.5,455920.4,102.78,1.5,3.4,32,37.7,1134.4,2412.9,645.6,42165,51744948,1341.3,76.15532893,443
188,2017년 8월,1.25,444245.2,453018.5,455920.4,103.37,1.5,3.6,32,37.7,1130.79,2372.18,657.26,43588,51753820,1341.3,75.97557677,412.9
189,2017년 9월,1.25,444245.2,453018.5,455920.4,103.49,1.5,3.3,32,37.7,1131.59,2371.84,674.47,39768,51762492,1341.3,75.91983221,425.1
190,2017년 10월,1.25,443912.1,447244,449746.7,103.39,-0.1,3.2,32.7,36.7,1131.57,2482.87,751.04,36636,51769092,1370.1,75.85158936,427.7
191,2017년 11월,1.5,443912.1,447244,449746.7,102.62,-0.1,3.1,32.7,36.7,1105.04,2533.51,768.16,37182,51774649,1370.1,75.79562597,434.9
192,2017년 12월,1.5,443912.1,447244,449746.7,102.99,-0.1,3.3,32.7,36.7,1085.78,2467.73,872.45,34898,51778544,1370.1,78.10698666,467.6
193,2018년 1월,1.5,448645.4,455313.6,457111.4,103.42,1.1,3.7,32,35.9,1066.7,2520.94,863.64,38380,51779148,1387.2,77.8303903,490.7
194,2018년 2월,1.5,448645.4,455313.6,457111.4,104.21,1.1,4.6,32,35.9,1079.58,2439.1,867.92,37364,51779892,1387.2,77.33488456,462.1
195,2018년 3월,1.5,448645.4,455313.6,457111.4,104.1,1.1,4.5,32,35.9,1071.89,2451.57,879.89,44376,51784669,1387.2,76.95912105,431.5
196,2018년 4월,1.5,451406.9,452966.9,454315.9,104.29,0.6,4.1,31.9,36,1067.76,2458.22,863.84,32841,51790131,1409.2,76.60417451,412
197,2018년 5월,1.5,451406.9,452966.9,454315.9,104.34,0.6,4,31.9,36,1076.39,2461.3,850.6,31594,51796179,1409.2,76.22197256,413.9
198,2018년 6월,1.5,451406.9,452966.9,454315.9,104.13,0.6,3.7,31.9,36,1092.8,2394.51,793.49,33749,51801449,1409.2,75.89820815,423.7
199,2018년 7월,1.5,454011.9,453956.6,455907.2,103.93,0.6,3.7,30.3,36.3,1122.8,2284.25,786,40810,51806977,1427.2,75.5798966,448
200,2018년 8월,1.5,454011.9,453956.6,455907.2,104.85,0.6,4,30.3,36.3,1121.15,2283.8,824.62,39819,51812153,1427.2,75.27298577,516.8
201,2018년 9월,1.5,454011.9,453956.6,455907.2,105.65,0.6,3.6,30.3,36.3,1120.6,2307.33,724.95,42811,51817851,1427.2,74.78739329,456.1
202,2018년 10월,1.5,457941.1,452777.5,454818.9,105.46,0.9,3.5,31.6,35.5,1130.81,2153.48,687.78,48660,51821881,1446.6,74.42886622,413
203,2018년 11월,1.75,457941.1,452777.5,454818.9,104.71,0.9,3.2,31.6,35.5,1128.58,2083.33,676.49,33136,51824477,1446.6,74.15202948,400.6
204,2018년 12월,1.75,457941.1,452777.5,454818.9,104.35,0.9,3.4,31.6,35.5,1122.9,2070.13,690.46,23726,51826059,1446.6,73.91318507,396.1
205,2019년 1월,1.75,456385.5,453625,455085.5,104.24,-0.3,4.5,30.6,34.7,1122,2101.98,739.71,29746,51826287,1451.7,71.91558422,382.3
206,2019년 2월,1.75,456385.5,453625,455085.5,104.69,-0.3,4.7,30.6,34.7,1122.45,2210.2,742.44,26341,51829538,1451.7,71.82886431,376.7
207,2019년 3월,1.75,456385.5,453625,455085.5,104.49,-0.3,4.3,30.6,34.7,1130.72,2161.91,755.68,30477,51833175,1451.7,71.74155989,378.7
208,2019년 4월,1.75,461013.9,450757,454175.4,104.87,1,4.4,32.3,34.7,1140.95,2212.12,715.13,28720,51836763,1468,71.62856597,395.3
209,2019년 5월,1.75,461013.9,450757,454175.4,105.05,1,4,32.3,34.7,1183.29,2086.9,714.47,26655,51840339,1468,71.59807778,429.3
210,2019년 6월,1.75,461013.9,450757,454175.4,104.88,1,4,32.3,34.7,1175.62,2105.3,667.48,26498,51842636,1468,71.55911449,475.2
211,2019년 7월,1.5,462744.8,450727.7,455991,104.56,0.4,3.9,30.9,35,1175.31,2079.48,595.05,34223,51845612,1481.4,71.49210065,493.9
212,2019년 8월,1.5,462744.8,450727.7,455991,104.81,0.4,3,30.9,35,1208.98,1944.24,632.96,35877,51847538,1481.4,71.48903473,471
213,2019년 9월,1.5,462744.8,450727.7,455991,105.2,0.4,3.1,30.9,35,1197.55,2045.21,644.97,30967,51849253,1481.4,71.53732911,479
214,2019년 10월,1.25,468814.3,453623.9,458884.6,105.46,1.3,3,30.8,34.4,1184.13,2065.75,656.89,42273,51850705,1504.6,71.69474003,507.3
215,2019년 11월,1.25,468814.3,453623.9,458884.6,104.87,1.3,3.1,30.8,34.4,1167.45,2128.79,640.54,40383,51851427,1504.6,71.80376192,524.3
216,2019년 12월,1.25,468814.3,453623.9,458884.6,105.12,1.3,3.4,30.8,34.4,1175.84,2147.01,671.12,39486,51849861,1504.6,71.76184776,501
217,2020년 1월,1.25,462805.5,450827.5,455435.6,105.79,-1.3,4.1,31.2,36,1164.28,2203.44,667.3,38053,51847509,1521.8,70.92709831,477.1
218,2020년 2월,1.25,462805.5,450827.5,455435.6,105.8,-1.3,4.1,31.2,36,1193.79,2167.12,549.44,53407,51844627,1521.8,70.66721544,467.6
219,2020년 3월,0.75,462805.5,450827.5,455435.6,105.54,-1.3,4.2,31.2,36,1220.09,1786.75,615.6,43226,51843195,1521.8,69.79571475,427.7
220,2020년 4월,0.75,448209.3,442242.6,445361.9,104.95,-3.2,4.2,32.7,34.5,1225.23,1849.59,695.3,26861,51842524,1546,69.29411638,416.1
221,2020년 5월,0.5,448209.3,442242.6,445361.9,104.71,-3.2,4.5,32.7,34.5,1228.67,1965.17,743.57,28200,51841371,1546,69.14889859,454
222,2020년 6월,0.5,448209.3,442242.6,445361.9,104.87,-3.2,4.3,32.7,34.5,1210.01,2134.7,781.02,52000,51839408,1546,69.0135163,527
223,2020년 7월,0.5,457783.7,453997.5,455873.4,104.86,2.1,4,30.8,35.7,1198.9,2195.95,835.29,52315,51839852,1585.7,68.69443293,541.7
224,2020년 8월,0.5,457783.7,453997.5,455873.4,105.5,2.1,3.1,30.8,35.7,1186.85,2349.87,865.53,30564,51839953,1585.7,68.77148121,519.4
225,2020년 9월,0.5,457783.7,453997.5,455873.4,106.2,2.1,3.6,30.8,35.7,1178.8,2371.52,832.64,30616,51841786,1585.7,69.05537671,511.9
226,2020년 10월,0.5,463395,457605.1,462259.6,105.61,1.2,3.7,30.8,37.2,1144.68,2357.82,850.78,36782,51838016,1630.2,69.41217518,515.3
227,2020년 11월,0.5,463395,457605.1,462259.6,105.5,1.2,3.4,30.8,37.2,1116.76,2504.18,928.02,33524,51834302,1630.2,69.44468555,569.8
228,2020년 12월,0.5,463395,457605.1,462259.6,105.67,1.2,4.1,30.8,37.2,1095.13,2755.77,,50371,51829023,1630.2,69.47422921,580.6
229,2021년 1월,0.5,472602.2,467453.4,473782.1,106.47,1.7,5.7,31,37.4,1097.49,3089.27,975.31,35564,51825932,1666,69.14526741,565
230,2021년 2월,0.5,472602.2,467453.4,473782.1,107,1.7,4.9,31,37.4,1111.72,3092.41,956.98,32931,51824142,1666,68.4540775,548
231,2021년 3월,0.5,472602.2,467453.4,473782.1,107.16,1.7,4.3,31,37.4,1131.02,3032.47,935.33,30976,51705905,1666,67.82007334,529.7
232,2021년 4월,0.5,,,,107.39,,4,,,1119.4,3165.08,1001.79,31944,51702100,,67.10656514,541.6
233,2021년 5월,0.5,,,,107.46,,4,,,1123.28,3169.2,969.08,30405,51683025,,66.54523633,
234,2021년 6월,,,,,107.39,,,,,1121.3,,,,51672400,,65.60604092,
