idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원)2,국내총소득(GDI)2,국민총소득(GNI)2,소비자물가지수(2015 = 100)2,경제성장률(%)1,실업률(%)3,국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균)2,아파트 거래량 매매(서울)1,총 인구(명),가계대출(조원)1,평균전세가율(서울)6,평균아파트매매가격(서울)
1,2002년 1월,4,,,,,,,30.2,31.8,1317.6,738.99,,,,,,
2,2002년 2월,4,,,,,2.5,,30.2,31.8,1318.72,774.42,,,,,,
3,2002년 3월,4,248502.4,258600.9,257299.6,69.9,2.5,,30.2,31.8,1322.51,864.66,,,,,,
4,2002년 4월,4,248502.4,258600.9,257299.6,70.233,2.5,4.1,31.6,31.5,1318.93,894.03,,,,,,
5,2002년 5월,4.25,248502.4,258600.9,257299.6,70.632,1.8,4.1,31.6,31.5,1266.06,842.23,,,,,,
6,2002년 6월,4.25,253005.6,259267.6,257789.6,71.032,1.8,3.8,31.6,31.5,1223.47,784.3,,,,,,
7,2002년 7월,4.25,253005.6,259267.6,257789.6,71.298,1.8,3.4,31.1,31.7,1185.12,753.67,,,,,,
8,2002년 8월,4.25,253005.6,259267.6,257789.6,71.231,2,3.1,31.1,31.7,1196.37,713.23,,,,,,
9,2002년 9월,4.25,258120.9,265527.6,265295,71.032,2,2.9,31.1,31.7,1208.5,703,,,,,,
10,2002년 10월,4.25,258120.9,265527.6,265295,71.498,2,3,32.2,32.1,1241.13,642.22,,,,,,
11,2002년 11월,4.25,258120.9,265527.6,265295,71.898,1.1,3.2,32.2,32.1,1211.91,679.73,,,,416.8,,
12,2002년 12월,4.25,260953.4,267202.2,266496,71.697,1.1,2.7,32.2,32.1,1208.91,699.84,,,,416.8,,
13,2003년 1월,4.25,260953.4,267202.2,266496,71.764,1.1,2.8,33.4,32.4,1179.27,630.98,,,,416.8,,
14,2003년 2월,4.25,260953.4,267202.2,266496,72.096,-0.7,2.9,33.4,32.4,1191.19,591.56,,,,420.7,,
15,2003년 3월,4.25,259233.3,265063.6,264112.5,72.564,-0.7,3.1,33.4,32.4,1232.4,550.75,,,,420.7,,
16,2003년 4월,4.25,259233.3,265063.6,264112.5,72.962,-0.7,3.7,32.6,32.6,1232.82,585.88,,,,420.7,,
17,2003년 5월,4,259233.3,265063.6,264112.5,73.828,-0.2,3.8,32.6,32.6,1199.78,613.49,,,,428.1,,
18,2003년 6월,4,258833.7,264288.2,262762.5,73.695,-0.2,3.7,32.6,32.6,1194.02,663.17,,,,428.1,,
19,2003년 7월,3.75,258833.7,264288.2,262762.5,73.562,-0.2,3.5,32.1,33.3,1181.59,703.53,,,,428.1,,
20,2003년 8월,3.75,258833.7,264288.2,262762.5,73.362,1.9,3.4,32.1,33.3,1178.42,731.65,,,,433.1,,
21,2003년 9월,3.75,263836.1,270512.7,269811,73.296,1.9,3.4,32.1,33.3,1166.17,742.29,,,,433.1,,
22,2003년 10월,3.75,263836.1,270512.7,269811,73.628,1.9,3.6,31.9,34.8,1166.27,756.45,,,,433.1,,
23,2003년 11월,3.75,263836.1,270512.7,269811,74.294,2.6,3.5,31.9,34.8,1184.87,789.05,,,,445.4,,
24,2003년 12월,3.75,270800,278529.5,278150.8,74.36,2.6,3.3,31.9,34.8,1192.95,801.18,,,,445.4,,
25,2004년 1월,3.75,270800,278529.5,278150.8,74.227,2.6,3.4,32.7,35.6,1184.32,845.53,459.51,,,445.4,,
26,2004년 2월,3.75,270800,278529.5,278150.8,74.561,1.3,3.5,32.7,35.6,1166.69,867.45,448.28,,,447.6,,
27,2004년 3월,3.75,274198,278703.3,278246.4,75.027,1.3,3.8,32.7,35.6,1166.34,875.58,439.05,,,447.6,,
28,2004년 4월,3.75,274198,278703.3,278246.4,75.359,1.3,4,33,35.9,1150.85,907.14,431.49,,,447.6,,
29,2004년 5월,3.75,274198,278703.3,278246.4,76.091,0.8,4.1,33,35.9,1177.37,798.79,463.2,,,453.1,,
30,2004년 6월,3.75,276291.5,279781.2,278583.3,76.091,0.8,4,33,35.9,1158.65,771.61,408.41,,,453.1,,
31,2004년 7월,3.75,276291.5,279781.2,278583.3,76.025,0.8,3.7,32.2,35.8,1157.66,746.07,383.97,,,453.1,,
32,2004년 8월,3.5,276291.5,279781.2,278583.3,76.025,0.4,3.5,32.2,35.8,1159,770.31,358.98,,,458.5,,
33,2004년 9월,3.5,277412.1,280328.3,279647.3,76.491,0.4,3.4,32.2,35.8,1147.97,835.92,344.08,,,458.5,,
34,2004년 10월,3.5,277412.1,280328.3,279647.3,77.156,0.4,3.6,32.9,35.7,1144.04,849.11,368.12,,,458.5,,
35,2004년 11월,3.25,277412.1,280328.3,279647.3,77.156,0.8,3.6,32.9,35.7,1091.19,863.1,365.1,,,468.9,,
36,2004년 12월,3.25,279514.7,284030.8,284560,77.156,0.8,3.3,32.9,35.7,1050.91,873.06,367.72,,,468.9,,
37,2005년 1월,3.25,279514.7,284030.8,284560,76.691,0.8,3.4,32.1,34.9,1038.23,903.35,376.91,,,468.9,,
38,2005년 2월,3.25,279514.7,284030.8,284560,76.824,0.9,3.5,32.1,34.9,1022.43,964.48,436.91,,,472.4,,
39,2005년 3월,3.25,281893.1,285390.5,284782.6,77.58,0.9,3.8,32.1,34.9,1007.49,988.23,492.31,,,472.4,,
40,2005년 4월,3.25,281893.1,285390.5,284782.6,77.895,0.9,4.3,33.1,34.1,1010.94,955.41,474.28,,,472.4,,
41,2005년 5월,3.25,281893.1,285390.5,284782.6,78.365,1.9,4.3,33.1,34.1,1002.21,938.98,448.71,,,490.7,,
42,2005년 6월,3.25,287212.6,288224.3,286402.7,78.444,1.9,4.1,33.1,34.1,1010.87,991.34,441.46,,,490.7,,
43,2005년 7월,3.25,287212.6,288224.3,286402.7,78.365,1.9,3.8,33.4,33.7,1037.44,1058.71,487.55,,,490.7,,
44,2005년 8월,3.25,287212.6,288224.3,286402.7,78.129,1.5,3.6,33.4,33.7,1021.17,1101.84,525.01,,,501.6,,
45,2005년 9월,3.25,291536.1,290051.3,286889.4,78.444,1.5,3.6,33.4,33.7,1029.33,1171.02,517.15,,,501.6,,
46,2005년 10월,3.5,291536.1,290051.3,286889.4,78.679,1.5,3.7,32.6,34.1,1046.25,1190.86,538.37,,,501.6,,
47,2005년 11월,3.5,291536.1,290051.3,286889.4,79.071,1,3.6,32.6,34.1,1041.43,1253.26,591.7,,,514.8,,
48,2005년 12월,3.75,294487.8,292554,290141,78.914,1,3.6,32.6,34.1,1024.15,1338.81,652.37,,,514.8,,
49,2006년 1월,3.75,294487.8,292554,290141,78.6,1,3.6,34.2,33.2,987.03,1379.32,721.05,,,514.8,,521.3
50,2006년 2월,4,294487.8,292554,290141,78.836,1.6,3.3,34.2,33.2,970.22,1341.72,708.27,7704,,522.4,,471.6
51,2006년 3월,4,299314.8,294724.3,293016.1,79.306,1.6,3.5,34.2,33.2,975.09,1331.72,656.84,12717,,522.4,,501.2
52,2006년 4월,4,299314.8,294724.3,293016.1,79.464,1.6,3.8,32.5,32.8,954.44,1415.92,657.5,17419,,522.4,,451.1
53,2006년 5월,4,299314.8,294724.3,293016.1,79.934,0.7,4.1,32.5,32.8,941.4,1388.83,693.71,14919,,540.5,,418.3
54,2006년 6월,4.25,301501.6,296380.1,295371.9,80.013,0.7,3.9,32.5,32.8,955.16,1249.19,663.35,16277,,540.5,,382
55,2006년 7월,4.25,301501.6,296380.1,295371.9,80.169,0.7,3.5,34.1,33.5,950.15,1278,576.71,11574,,540.5,,372.3
56,2006년 8월,4.5,301501.6,296380.1,295371.9,80.013,1.6,3.2,34.1,33.5,960.72,1316.08,563.45,8649,,553.1,,389.6
57,2006년 9월,4.5,306367.7,300509.3,300210.5,80.326,1.6,3.4,34.1,33.5,953.68,1356.53,553.36,8463,,553.1,,431.9
58,2006년 10월,4.5,306367.7,300509.3,300210.5,80.797,1.6,3.4,32,33.3,954.23,1354.04,597.94,15880,,553.1,,494.3
59,2006년 11월,4.5,306367.7,300509.3,300210.5,81.032,0.8,3.4,32,33.3,936.22,1403.93,577.5,22346,,575.6,,428.3
60,2006년 12월,4.5,308755.4,305729.9,305369.8,80.64,0.8,3.2,32,33.3,925.75,1418.83,607.57,27800,,575.6,,450.8
61,2007년 1월,4.5,308755.4,305729.9,305369.8,80.248,0.8,3.3,33.5,33.3,936.36,1379.25,608.56,18551,,575.6,,398.9
62,2007년 2월,4.5,308755.4,305729.9,305369.8,80.483,1.7,3.2,33.5,33.3,937.02,1434.89,593.23,9411,,581.2,,414.7
63,2007년 3월,4.5,313924.1,309598.4,307812.9,80.64,1.7,3.3,33.5,33.3,943.26,1431.62,602.08,5971,,581.2,,410.2
64,2007년 4월,4.5,313924.1,309598.4,307812.9,81.189,1.7,3.6,34,33.6,931.5,1517.12,627.46,7430,,581.2,,421.8
65,2007년 5월,4.5,313924.1,309598.4,307812.9,81.66,1.7,3.7,34,33.6,927.91,1614.94,678,7461,,597.9,,465
66,2007년 6월,4.5,319355.9,314353.9,313384.4,81.973,1.7,3.5,34,33.6,928.32,1754.28,709.78,6422,,597.9,,486
67,2007년 7월,4.75,319355.9,314353.9,313384.4,82.052,1.7,3.4,32.1,34,918.85,1911.56,779.11,6456,,597.9,,454.8
68,2007년 8월,5,319355.9,314353.9,313384.4,82.052,1.2,3.2,32.1,34,933.8,1815.02,811.99,7018,,609.9,,445
69,2007년 9월,5,323104.6,318753.1,319398.1,82.366,1.2,3.2,32.1,34,932.41,1879.03,764.46,6862,,609.9,,463
70,2007년 10월,5,323104.6,318753.1,319398.1,82.444,1.2,3.3,33.4,34.2,915.86,2004.55,777.61,6303,,609.9,,470
71,2007년 11월,5,323104.6,318753.1,319398.1,82.915,2.2,3.1,33.4,34.2,916.98,1924.84,801.55,8522,,630.1,,483.2
72,2007년 12월,5,330073.8,322265.2,321277,83.072,2.2,3,33.4,34.2,930.24,1903.99,755.69,8918,,630.1,,492.7
73,2008년 1월,5,330073.8,322265.2,321277,83.072,2.2,3,33.7,33.2,942.39,1732.29,722.26,7674,49297732,630.1,,478.2
74,2008년 2월,5,330073.8,322265.2,321277,83.386,0.4,3,33.7,33.2,944.69,1689.53,667.12,7233,49329973,641.7,,486.6
75,2008년 3월,5,331402,319817.7,320608.2,83.777,0.4,3.1,33.7,33.2,979.86,1651.15,647.38,6953,49324670,641.7,,502.5
76,2008년 4월,5,331402,319817.7,320608.2,84.092,0.4,3.3,35,33.5,986.66,1776.58,627.49,10746,49355153,641.7,,532.5
77,2008년 5월,5,331402,319817.7,320608.2,84.876,0.5,3.5,35,33.5,1036.73,1846.75,647.78,13590,49380296,660.8,,552.9
78,2008년 6월,5,333136.8,319443.8,318836.2,85.347,0.5,3.4,35,33.5,1029.27,1758.17,649.49,10041,49387462,660.8,,557.7
79,2008년 7월,5,333136.8,319443.8,318836.2,86.052,0.5,3.2,36.7,33.1,1019.12,1569.6,619.33,9417,49416162,660.8,,558.7
80,2008년 8월,5.25,333136.8,319443.8,318836.2,86.601,0.8,3.1,36.7,33.1,1041.54,1537.55,536.92,7866,49441742,675,,566.5
81,2008년 9월,5.25,335854.8,318949.2,317404.7,87.229,0.8,3.1,36.7,33.1,1130.4,1446.56,507.14,5159,49469003,675,,573.6
82,2008년 10월,4.25,335854.8,318949.2,317404.7,87.072,0.8,3.1,29.2,34,1326.92,1201.7,444.16,4865,49495874,675,,557.9
83,2008년 11월,4,335854.8,318949.2,317404.7,87.151,-3.3,3.1,29.2,34,1390.09,1073.95,348.31,4871,49516085,683.6,,618.2
84,2008년 12월,3,324825.7,308136.4,309824.5,87.072,-3.3,3,29.2,34,1373.84,1114.9,310.48,3087,49540367,683.6,,627.4
85,2009년 1월,2.5,324825.7,308136.4,309824.5,86.837,-3.3,3,26.8,33.8,1346.1,1156.37,324.98,4343,49552045,683.6,,662.2
86,2009년 2월,2,324825.7,308136.4,309824.5,86.837,0.1,3,26.8,33.8,1429.46,1139.75,355.1,4358,49577741,684.4,,624.2
87,2009년 3월,2,325118,311304,310313.4,86.916,0.1,3.3,26.8,33.8,1461.98,1140.45,377.44,6242,49596381,684.4,,642
88,2009년 4월,2,325118,311304,310313.4,87.543,0.1,3.6,27.8,33,1341.9,1322.1,390.98,7721,49593665,684.4,,637.4
89,2009년 5월,2,325118,311304,310313.4,88.17,1.3,3.9,27.8,33,1258.71,1400.5,484.22,9802,49618780,700.1,,621.3
90,2009년 6월,2,329451.1,324948.2,325010.6,88.405,1.3,4,27.8,33,1261.35,1395.24,533.82,9985,49642216,700.1,,655.7
91,2009년 7월,2,329451.1,324948.2,325010.6,88.405,1.3,3.8,31.6,33.9,1263.97,1460.03,516.39,10927,49665471,700.1,,635.9
92,2009년 8월,2,329451.1,324948.2,325010.6,88.327,3,3.8,31.6,33.9,1238.4,1577.91,496.39,11390,49688156,717,,650
93,2009년 9월,2,339310.5,330947.5,330728.8,88.641,3,3.8,31.6,33.9,1219.15,1659.45,515.61,10714,49711355,717,,614.5
94,2009년 10월,2,339310.5,330947.5,330728.8,88.955,3,3.7,31.5,33.4,1175.25,1630.61,523.16,11388,49736280,717,,588.7
95,2009년 11월,2,339310.5,330947.5,330728.8,89.034,0.7,3.7,31.5,33.4,1164.23,1583.47,501.83,9564,49759141,734.3,,607.2
96,2009년 12월,2,341844.7,332611.9,332007.7,88.798,0.7,3.3,31.5,33.4,1166.45,1646.64,477.15,6082,49773145,734.3,,658.9
97,2010년 1월,2,341844.7,332611.9,332007.7,88.955,0.7,3.2,33.7,34.9,1138.82,1682.16,498.35,6279,49810609,734.3,,681.5
98,2010년 2월,2,341844.7,332611.9,332007.7,89.269,2,3.3,33.7,34.9,1157.08,1598.96,535.44,5492,49835331,740.8,,619
99,2010년 3월,2,348541.7,339582.2,340962.7,89.974,2,3.5,33.7,34.9,1137.64,1665.5,505.32,6809,49862894,740.8,,586.2
100,2010년 4월,2,348541.7,339582.2,340962.7,90.156,2,5,31.4,35.9,1117.11,1730.29,518.7,7484,49889125,740.8,,566.7
101,2010년 5월,2,348541.7,339582.2,340962.7,90.338,1.9,4.8,31.4,35.9,1163.11,1648.3,512.86,5586,49913379,756.9,,588.3
102,2010년 6월,2,355163.3,346946.5,348176.8,90.702,1.9,4.1,31.4,35.9,1212.33,1691.94,497.85,4033,49934126,756.9,,598.4
103,2010년 7월,2.25,355163.3,346946.5,348176.8,90.793,1.9,3.7,32.1,35.6,1207.3,1731.12,493.3,3821,49955240,756.9,,593.9
104,2010년 8월,2.25,355163.3,346946.5,348176.8,90.702,1.2,3.2,32.1,35.6,1179.92,1762.18,490.97,3627,49976963,771,,599
105,2010년 9월,2.25,359266.2,351857.4,353549.2,90.884,1.2,3.5,32.1,35.6,1167.01,1815.75,475.35,4094,50001273,771,,583.6
106,2010년 10월,2.25,359266.2,351857.4,353549.2,91.34,1.2,3.7,33.4,34.5,1123.45,1889.7,482.36,3995,50475351,771,,602.2
107,2010년 11월,2.5,359266.2,351857.4,353549.2,92.068,1.2,3.3,33.4,34.5,1126.2,1924.71,509.94,5116,50495462,793.8,,644.2
108,2010년 12월,2.5,363646.8,351046.3,348931.8,92.068,1.2,3.4,33.4,34.5,1147.55,2002.5,514.88,7062,50515666,793.8,,647.8
109,2011년 1월,2.75,363646.8,351046.3,348931.8,91.613,1.2,3.3,33.9,34.3,1120.07,2091.61,505.36,9182,50534731,793.8,,611.7
110,2011년 2월,2.75,363646.8,351046.3,348931.8,91.977,0.9,3,33.9,34.3,1118.14,2002.87,528.6,7089,50555262,806.4,,584.2
111,2011년 3월,3,367040.1,347744.6,348249.7,93.07,0.9,3.5,33.9,34.3,1122.45,2002.67,517.58,7739,50575130,806.4,,566.7
112,2011년 4월,3,367040.1,347744.6,348249.7,93.707,0.9,3.8,34.7,34.3,1086.84,2153.13,510.59,9472,50594424,806.4,,570.9
113,2011년 5월,3,367040.1,347744.6,348249.7,94.072,0.5,4.5,34.7,34.3,1083.54,2121.87,528.44,7062,50613213,826.9,,573.6
114,2011년 6월,3.25,368841.5,352078.6,354035.9,94.163,0.5,4.3,34.7,34.3,1081.27,2074.64,494.71,6229,50627347,826.9,,576.8
115,2011년 7월,3.25,368841.5,352078.6,354035.9,94.345,0.5,3.7,31.3,34.8,1059.5,2150.06,469.03,5844,50641565,826.9,,614.5
116,2011년 8월,3.25,368841.5,352078.6,354035.9,94.527,0.5,3.2,31.3,34.8,1073.17,1869.41,511.55,5168,50662739,839.7,,571.5
117,2011년 9월,3.25,370782.8,353512.7,356925.9,94.982,0.5,3.3,31.3,34.8,1118.61,1790.95,488.16,6178,50681829,839.7,,577.3
118,2011년 10월,3.25,370782.8,353512.7,356925.9,95.62,0.5,3.3,32.9,35.1,1155.45,1825.88,461.47,6128,50699478,839.7,,592.3
119,2011년 11월,3.25,370782.8,353512.7,356925.9,95.529,0.5,3,32.9,35.1,1132.31,1858.8,471.45,6067,50717719,861.4,,588.1
120,2011년 12월,3.25,372534,352132.7,355061.9,95.347,0.5,3,32.9,35.1,1147.45,1863.23,497.85,5643,50734284,861.4,,609.5
121,2012년 1월,3.25,372534,352132.7,355061.9,95.438,0.5,2.9,33.8,34.7,1145.85,1891.01,501.07,7918,50750837,861.4,,575.7
122,2012년 2월,3.25,372534,352132.7,355061.9,95.802,0.9,2.9,33.8,34.7,1123.35,2003.23,516.72,2959,50767313,862.9,,570.6
123,2012년 3월,3.25,375799.3,355987.3,359499.5,96.184,0.9,3,33.8,34.7,1125.9,2023.41,532.84,4628,50783029,862.9,,564.7
124,2012년 4월,3.25,375799.3,355987.3,359499.5,96.549,0.9,3.5,31.8,35.1,1135.55,1995.92,532.37,5339,50801531,862.9,,583.4
125,2012년 5월,3.25,375799.3,355987.3,359499.5,96.576,0.6,4.2,31.8,35.1,1154.27,1886.35,495.47,5440,50819380,875,,592.9
126,2012년 6월,3.25,377917.1,357987.7,362793.9,96.567,0.6,3.7,31.8,35.1,1165.51,1848.6,474.83,5099,50832898,875,,557.2
127,2012년 7월,3,377917.1,357987.7,362793.9,96.74,0.6,3.5,29.7,34.1,1143.36,1826.75,474.78,4427,50851082,875,53.58217622,548.9
128,2012년 8월,3,377917.1,357987.7,362793.9,96.603,0.4,3.1,29.7,34.1,1131.69,1918.91,480.6,4120,50871606,885.7,53.75717026,534.8
